isbn,author_id
1-67555-807-8,5061
1-4080-1553-6,1445
0-924624-85-X,4472
0-504-90801-4,3446
0-322-30525-X,2792
1-4933-7215-7,7560
1-80659-825-6,802
1-4847-0730-3,6423
1-228-28768-6,137
0-617-96005-4,3218
0-380-07245-9,8112
0-8180-8949-0,2236
1-927993-86-5,7442
0-572-27147-6,1820
0-85288-081-2,5533
1-86079-678-8,9101
1-83741-985-X,8695
1-76364-009-4,4359
1-62655-545-1,2505
1-364-33312-0,9033
1-55562-235-6,931
0-494-73118-4,9174
0-284-85452-2,1654
1-879502-40-2,2484
1-4628-4424-3,3697
1-4571-7132-5,2332
0-659-15253-3,7002
0-07-574249-7,4419
1-110-14016-9,634
1-74873-385-0,594
0-89594-884-2,4682
1-959641-50-6,8851
0-470-54001-X,8236
1-61222-263-3,8894
0-09-263648-9,2465
0-7130-3910-8,6287
1-69063-784-6,5030
1-915513-90-1,702
0-252-45739-0,500
0-14-724744-6,5404
0-19-938318-9,4397
1-66571-433-6,5748
0-462-09080-9,8511
1-200-22495-7,925
1-229-77657-5,7056
0-88851-592-8,856
0-682-99239-9,7842
0-362-33706-3,3060
0-341-07124-2,8006
1-08-168362-7,6496
0-432-06547-4,6044
0-12-779243-0,8902
0-9801393-5-X,691
0-351-29653-0,1419
0-9926999-2-4,1672
0-543-09828-1,1512
0-01-390222-9,1186
0-8394-7801-1,1758
0-449-88832-0,9034
1-149-05853-6,5750
0-359-17366-7,3835
1-944526-27-7,836
1-174-92332-6,4347
1-04-554787-5,1261
0-86659-652-6,951
1-9853-4319-3,7486
0-8222-2043-1,6786
0-442-31103-6,3860
1-9844-2704-0,7905
1-67249-010-3,505
1-914941-40-3,6343
1-938578-83-X,805
0-200-80329-8,2750
0-7735-6384-9,4011
1-62373-297-2,6762
0-6487494-2-8,4725
1-898124-01-9,8329
1-940685-53-2,5467
0-667-81502-3,4072
0-548-27439-8,7049
0-473-86374-X,5897
1-82511-696-2,2086
1-325-08425-5,4559
0-362-23096-X,8310
0-339-19651-3,4903
0-288-41828-X,3014
1-4461-5160-3,7844
1-9874-1469-1,6827
0-565-96647-2,8461
1-953676-30-8,7283
1-05-322336-6,8451
1-314-31832-2,7436
0-7480-5242-9,7875
0-662-80813-4,5787
1-75069-420-4,8515
1-209-64893-8,3996
0-04-056130-5,5490
1-06-306797-9,3636
1-79043-338-X,9653
0-85577-570-X,3616
0-575-35019-9,8947
0-88534-254-2,4467
1-85234-361-3,1943
1-82656-687-2,3863
1-235-16787-9,5832
0-7037-4826-2,7357
1-940719-65-8,1306
0-89730-079-3,9577
0-8115-7156-4,5857
1-83162-500-8,9791
1-988608-55-4,8331
1-4562-7247-0,6107
0-665-83657-0,7457
1-4950-8938-X,473
0-604-46737-0,297
0-382-92396-0,8049
0-11-282167-7,4801
0-7622-1636-0,8992
1-09-908358-3,1658
0-933796-33-1,8742
1-994448-34-2,4906
0-9883196-6-7,4487
0-687-11253-2,2491
0-353-25146-1,8255
0-666-09389-X,6808
1-05-375816-2,5245
0-484-08409-7,6291
0-430-49302-9,8898
0-202-24448-2,2359
0-10-168016-3,4899
0-914140-43-4,1146
0-350-06146-7,4999
0-86088-484-8,5077
1-224-54362-9,3784
1-61358-049-5,8639
0-88285-700-2,6794
1-09-880160-1,1415
0-427-65719-9,5951
0-461-59241-X,7973
1-74774-844-7,7205
0-87178-275-8,9264
1-122-15372-4,1714
0-685-21722-1,1767
0-15-414576-9,5892
0-89722-760-3,5358
0-912733-34-9,8868
1-352-73572-5,404
0-554-67719-9,5432
1-4704-3997-2,2857
1-323-10142-X,4541
0-07-480201-1,7538
1-960447-69-6,5631
1-76884-837-8,1511
1-71792-451-4,2654
0-685-63967-3,1718
1-5410-9092-6,1594
0-10-517565-X,9319
1-84111-886-9,7188
1-198-89285-4,8941
1-5120-9315-7,3232
1-143-20627-4,9687
0-365-37311-7,3242
1-180-79093-6,6216
1-61136-246-6,3692
1-213-06762-6,3843
0-600-57382-6,2742
1-63311-906-8,824
1-190-45926-4,983
1-4641-5507-0,4868
0-441-47358-X,57
1-76012-527-X,643
1-9801-3819-2,8721
0-211-30446-8,2803
0-312-66398-6,9397
1-953692-61-3,2094
1-896122-14-0,9181
1-04-159424-0,1746
1-208-16641-7,6276
0-9636406-0-7,4828
0-7158-0036-1,2929
0-05-100775-4,396
1-4425-2252-6,4131
1-252-81005-9,9901
1-72801-210-4,303
0-483-05544-1,4310
0-8414-5011-0,2828
0-942423-70-4,8974
1-65731-934-2,7240
1-72450-084-8,8849
1-07-593732-9,1448
0-597-94991-3,5386
1-9871-6684-1,3349
0-11-603115-8,5372
0-246-28565-6,8616
0-8328-8702-1,2712
1-338-22146-9,2545
0-411-05813-4,7638
0-402-19903-0,9937
0-7268-9736-1,5033
0-9871488-1-8,3916
1-55795-059-8,2501
1-5295-9726-9,1934
1-78525-514-2,9163
1-08-168362-7,8553
0-497-27923-1,6218
1-288-44707-8,400
1-85192-693-3,3543
0-02-275970-0,6710
1-57056-523-6,1171
1-333-65654-8,4516
1-294-99035-7,8237
0-7445-5048-3,1784
0-214-72079-9,9708
1-874858-73-X,2320
0-9508685-3-1,7851
0-9936778-0-0,8385
1-67766-514-9,6432
1-63300-893-2,6905
1-9826-4376-5,2645
1-03-957929-9,7139
0-02-536668-8,9829
1-368-05547-8,8638
1-63075-239-8,8804
0-7792-4623-3,52
1-09-955933-2,2666
1-345-02477-0,9637
1-03-653970-9,4809
1-5324-9105-0,7722
1-879195-31-3,8906
0-338-99122-0,6283
1-4564-1325-2,5036
0-225-27980-0,9330
0-8325-5512-6,6034
0-8210-0279-1,2973
0-9748473-1-3,3331
1-334-02261-5,1756
0-8000-9353-4,8844
0-89475-874-8,2081
0-505-74644-1,455
0-654-31591-4,9921
0-929379-90-X,6441
1-278-74394-4,8211
1-77112-754-6,9282
1-55426-647-5,6755
0-900157-56-9,1589
0-586-32370-8,3955
0-19-515580-7,4836
0-207-17689-2,3622
0-06-077008-2,6532
0-503-46915-7,934
0-940663-15-5,728
1-64083-375-7,7592
1-4271-2157-5,6091
0-8363-3785-9,2804
0-7490-3086-0,6426
0-10-159165-9,7820
1-74952-940-8,9265
0-05-353341-0,8499
1-02-569024-9,3316
1-938634-22-5,4566
0-7835-8119-X,9909
1-879612-49-6,1989
0-85376-394-1,5523
1-304-91461-5,8510
1-339-64635-8,5300
1-907511-50-4,7576
1-75868-217-5,4513
0-324-40429-8,7011
0-619-98862-2,3023
0-591-46742-9,2391
1-06-096943-2,880
1-68635-246-8,8783
1-5350-3458-0,5807
1-4059-4530-3,6803
1-76050-081-X,4045
0-7399-2685-3,7751
1-84073-115-X,9293
1-932175-32-6,7866
1-4836-0675-9,5469
1-9751-4579-8,9684
1-270-75688-5,8715
0-310-48915-6,2250
1-160-02084-1,7588
1-191-80570-0,1523
1-194-94819-7,5979
1-261-11838-3,1509
1-81469-923-6,1303
1-272-64544-4,3930
0-07-358179-8,6039
0-01-826335-6,3953
0-05-872187-8,1155
0-473-93303-9,4786
0-204-14416-7,7923
1-02-584483-1,2769
0-346-96582-9,4684
0-7580-2279-4,8411
0-661-67881-4,9778
0-17-401668-9,6266
1-57116-339-5,6948
0-16-017942-4,9935
1-78153-264-8,1827
0-405-69140-8,7468
1-82934-767-5,8523
0-404-06198-2,8136
0-223-15056-8,7966
0-7139-0261-2,8021
0-287-27909-X,9133
1-219-51608-2,6483
1-07-263334-5,5713
0-7154-7790-0,5577
1-80101-672-0,4684
1-946810-80-0,4045
0-560-28115-3,1106
0-226-72138-8,6522
0-267-08007-7,2811
0-282-44082-8,1145
1-73073-946-6,2447
0-579-75383-2,4445
1-76893-199-2,7012
1-08-565852-X,1476
1-85112-270-2,9814
0-14-373620-5,3679
0-7069-1670-0,7542
0-362-98099-3,2566
0-949404-36-5,4655
1-281-89062-6,5315
0-7506-7909-3,5650
1-335-11451-3,637
0-9862582-1-0,9701
1-243-92404-7,8243
1-62023-174-3,8632
0-18-327996-4,9349
0-555-92333-9,6381
0-552-27130-6,8962
1-77539-448-4,5936
0-7918-2354-7,7233
0-87985-187-2,4610
0-470-39684-9,5433
1-212-24125-8,5007
1-281-01975-5,9616
0-7157-0337-4,4566
1-68106-577-0,8838
1-4449-0056-0,3030
1-996535-96-X,3828
1-77364-116-6,8920
1-69807-489-1,4996
1-82595-939-0,8944
1-233-96083-0,1706
0-8033-2372-7,987
0-678-28769-4,6834
1-339-19584-4,5820
1-86027-524-9,5740
0-317-77260-0,866
1-5193-7287-6,3998
0-7317-6617-2,2680
1-152-21518-3,5414
0-571-05232-0,2052
1-9761-7565-8,1023
0-618-66957-4,9720
0-567-70098-4,7223
0-693-76150-4,8093
1-141-62536-9,5280
1-07-842602-3,8703
0-00-691933-2,1707
1-75207-225-1,5988
0-18-570796-3,2587
0-687-36207-5,9483
0-01-954206-2,9416
0-243-54645-9,5765
0-652-84607-6,8004
1-294-90837-5,1157
0-11-443204-X,5524
0-8012-6507-X,4308
1-908002-50-6,5942
1-371-13816-8,6067
1-66345-122-2,208
0-679-35457-3,2623
1-76284-861-9,5581
0-05-521691-9,9179
1-67367-518-2,1704
0-393-39080-2,7271
1-4638-4692-4,2820
0-9956991-6-X,991
0-87892-136-2,152
0-8289-9474-9,6664
0-694-29481-0,392
0-939369-00-1,1126
1-885834-65-9,4438
0-05-354388-2,5846
1-01-152706-5,5268
0-361-86645-3,1884
0-8236-3854-5,5074
1-76829-802-5,524
1-966823-35-5,4982
1-916581-86-2,9247
0-9673302-8-9,3369
1-64813-515-3,5551
0-9694649-7-5,7357
0-666-90855-9,8708
0-931644-68-2,1312
1-59941-379-5,9351
1-7337253-4-2,9406
1-59546-519-7,6352
1-344-00966-2,4245
0-7422-7830-1,2513
1-72446-083-8,8544
0-12-190101-7,7831
1-307-35927-2,3563
1-58065-115-1,9870
1-358-18021-0,5412
1-06-012175-1,665
0-8356-4849-4,8346
1-01-798722-X,7375
0-9961145-2-1,4711
1-288-52250-9,9042
0-463-06712-6,708
1-283-64387-1,9689
1-68606-812-3,2640
1-04-397942-5,5683
0-7249-3459-6,6801
1-349-71425-9,7791
0-941523-44-6,119
0-438-14585-2,8297
0-342-14029-9,4744
1-5272-4818-6,9832
0-321-59420-7,1794
1-4113-4686-6,1105
1-182-62106-6,6375
1-67402-475-4,2908
0-486-55632-8,4456
1-213-52346-X,5274
0-222-17198-7,725
0-18-011269-4,7073
1-885342-41-1,3114
0-617-84906-4,3800
1-61281-489-1,7540
1-107-53736-3,4838
0-08-593505-0,6678
0-04-029439-0,6127
1-4035-7617-3,3600
0-666-34723-9,3392
1-907968-74-1,8894
1-06-589421-X,1603
1-02-556118-X,1349
0-11-881933-X,6867
1-85834-303-8,2119
1-913306-41-0,7270
0-281-79566-5,2821
0-921765-33-9,7498
0-16-338654-4,2051
0-658-46465-5,1071
0-7032-4952-5,5169
1-107-67036-5,6665
0-619-80290-1,2291
0-16-158523-X,7223
1-5241-9437-9,2856
1-74632-869-X,95
0-425-56705-2,2321
0-7336-1426-4,3468
1-969136-14-6,1238
1-5150-6779-3,8347
1-86072-637-2,3172
1-04-250190-4,9949
0-05-323048-5,5399
0-9585698-8-6,2765
