order_id,isbn
88145,1-362-31324-6
40567,1-00-685705-2
50743,0-89110-753-3
40328,1-4669-6458-8
96290,1-04-299526-5
46663,0-699-93992-5
36637,0-316-10661-5
26600,1-66164-898-3
98585,0-393-63343-8
32176,0-9544317-3-1
21568,1-82510-997-4
51791,0-12-534331-0
36676,1-943377-85-5
73730,0-659-46418-7
12869,1-69059-653-8
56248,0-941405-59-1
10724,1-09-262694-8
96797,1-5472-1896-7
65969,0-7938-9321-6
55998,1-4092-4294-3
21411,0-13-097395-5
66153,1-66554-623-9
47329,1-121-45705-3
99291,1-03-261029-8
56143,1-218-78613-2
15499,1-959793-05-5
20951,1-74816-128-8
21751,1-78639-136-8
63712,0-543-54311-0
66487,0-663-42254-X
75905,1-05-999671-5
85345,1-276-89453-8
7525,1-212-89658-0
79364,0-347-39180-X
35994,1-996941-35-6
80145,0-19-769953-7
39761,1-350-33777-3
50574,1-181-67385-2
57921,1-326-98725-9
78784,0-638-15908-3
89006,0-937121-53-3
60795,1-5058-4177-1
74727,1-172-64403-9
52457,1-01-052694-4
93679,1-158-95709-2
2636,1-385-95231-8
55767,0-695-63793-2
19380,0-05-734158-3
27844,0-05-769377-3
9288,0-8372-2490-X
84132,0-15-420646-6
5367,0-563-05143-4
92385,0-7897-0002-6
19478,0-08-956084-1
16179,0-352-22686-2
57461,0-538-81999-5
58869,0-545-29352-9
7222,0-500-20254-0
93067,1-338-56639-3
7766,1-05-912220-0
85811,0-10-852635-6
49429,1-81848-924-4
53497,0-234-17039-5
15925,0-7486-7977-4
94961,0-580-49642-2
1935,1-199-52747-5
45739,0-7373-3656-0
91376,0-906632-01-3
2162,1-136-08021-X
44002,0-389-05310-4
10842,0-424-91796-3
21068,1-01-689571-2
44059,1-111-68727-7
64468,1-959544-97-7
31409,0-7379-2803-4
87492,1-03-941143-6
9065,0-9623512-4-5
91606,1-06-011357-0
92598,0-18-994239-8
91956,1-61408-174-3
59365,1-00-962413-X
41092,1-61543-273-6
75876,1-85798-706-3
16175,0-634-06540-8
22831,1-336-26189-7
22086,1-85010-260-0
14350,0-7001-9540-8
41663,1-75339-950-5
30942,0-8216-5888-3
19442,0-01-404377-7
52007,1-83434-057-8
43226,0-633-48633-7
86314,1-74235-748-2
29387,1-57076-172-8
24567,0-85940-456-0
47273,1-4970-1984-2
543,0-13-813629-7
77304,1-72649-773-9
80740,0-13-590816-7
54068,1-00-426619-7
84520,0-607-74651-3
1076,0-916784-47-9
47984,0-438-28804-1
41877,1-57235-973-0
42007,1-5059-6091-6
21720,0-9780664-8-0
31977,0-530-65046-0
80481,1-9868-6295-X
70623,1-75146-458-X
91556,1-08-817188-5
42773,1-56104-911-5
68297,0-346-11064-5
40409,1-83703-536-9
11771,1-72193-117-1
89933,1-166-61203-1
27643,1-379-04461-8
40288,1-943379-78-5
92812,0-277-41439-3
90198,1-273-20019-5
63833,1-55044-599-5
67654,1-9794-0216-7
44013,0-7539-2314-9
6930,1-155-79059-6
18151,1-77530-524-4
61474,1-881958-41-8
79943,1-124-17645-4
29208,1-06-102117-3
25334,0-86356-790-8
32167,0-561-99498-6
7314,0-330-51840-2
6913,0-19-888724-8
16035,1-70336-422-8
59452,0-257-83354-4
33380,0-00-860137-2
74875,0-631-30078-3
30801,1-5437-4332-3
34633,1-908007-18-4
62950,0-18-829326-4
70486,1-303-25861-7
44287,0-375-58519-2
48461,0-500-16051-1
6748,0-452-32585-4
91926,1-5110-9509-1
4775,0-312-67952-1
76077,0-87545-923-4
44670,1-06-988352-2
71885,1-930252-18-8
20609,0-07-607244-4
31972,1-355-48527-4
29004,1-4672-9929-4
62512,0-7166-1690-4
54480,0-7750-1109-6
35931,0-656-51329-2
36134,0-11-014331-0
86473,1-07-486887-0
56013,1-307-46659-1
13432,1-265-47119-3
44312,0-545-54720-2
20681,1-60090-752-0
7903,0-574-92915-0
3556,1-67081-774-1
19722,1-85743-008-5
91539,1-55023-912-0
73404,1-71375-273-5
34320,1-168-59721-8
33444,0-691-60468-1
61714,1-06-828108-1
6413,0-227-97883-8
27574,1-948869-16-0
54085,0-914344-72-2
77638,1-08-418632-2
96214,1-186-23309-5
83235,1-67437-014-8
19683,1-68551-981-4
48073,1-64599-066-4
1674,1-78956-070-5
92041,0-682-97649-0
26822,0-7918-5945-2
47158,0-14-609286-4
75441,0-334-92750-1
58894,0-8356-9791-6
35855,0-258-34493-8
55598,0-341-48830-5
22711,0-8058-4780-4
52728,0-636-64962-8
5556,0-07-086282-6
51430,0-596-81592-1
97900,1-907975-14-4
62969,1-960485-76-8
28338,0-201-16004-8
7400,0-243-75955-X
39800,0-19-491064-4
89355,1-07-583625-5
17064,0-379-00767-3
69148,0-351-47643-1
71325,0-227-30592-2
43897,0-932530-10-9
48896,0-940692-83-X
74023,1-83947-816-0
51599,1-03-778915-6
80002,0-464-47742-5
13402,1-82157-826-0
19541,1-79527-753-X
39922,1-946810-80-0
7439,1-327-84451-6
18199,0-86730-917-2
29352,0-671-14987-3
29672,0-00-741679-2
18078,1-86862-297-5
69436,1-957045-70-1
56963,1-76655-850-X
24762,0-227-89177-5
70927,0-684-11260-4
22250,0-7213-4436-4
10775,1-62473-591-6
90243,0-9639250-3-2
40799,0-7897-3969-0
98460,0-13-585003-7
95861,0-450-24887-9
81578,0-504-93220-9
32074,1-314-89539-7
64428,1-62475-036-2
5384,0-8016-8440-4
80593,1-9747-3511-7
92006,0-07-463819-X
80064,1-07-277401-1
93620,0-607-56751-1
35925,1-72592-726-8
1776,0-312-82065-8
76715,1-216-02370-0
97795,0-7116-3025-9
73196,0-464-54924-8
53507,1-09-788428-7
8786,1-9752-0474-3
96937,1-69445-496-7
51245,1-376-66109-8
82144,0-264-01254-2
50227,0-909651-22-1
43307,1-5107-9832-3
64073,0-270-41433-9
92273,1-311-71217-8
58515,0-630-51490-9
59650,0-293-34233-4
96858,0-456-29820-7
9685,0-03-451288-8
92099,0-362-10203-1
9522,1-239-17189-7
42597,0-263-42329-8
62194,1-77112-754-6
75755,0-927472-20-1
51871,0-438-29632-X
19228,0-11-417585-3
25585,0-9706060-3-6
26524,0-224-49594-1
53772,1-145-66768-6
98535,0-548-37856-8
71497,1-05-256055-5
59159,0-9815317-8-4
88821,1-79925-183-7
56530,1-68099-238-4
16803,0-337-20461-6
47923,1-78959-600-9
74903,1-5174-4047-5
51291,1-4404-3285-6
34150,0-9724179-8-2
56124,0-629-76194-9
5677,1-281-28503-X
53636,0-418-94862-3
59408,0-7415-4673-6
6606,1-122-36321-4
75374,0-494-71971-0
43956,0-931917-93-X
50430,0-8349-9995-1
80924,1-61339-589-2
50151,0-650-83019-9
19876,0-650-68898-8
32834,1-307-45081-4
3148,0-382-54109-X
62503,0-8340-3773-4
82474,1-65092-184-5
45284,0-904734-85-4
48109,0-9572352-4-0
39687,1-4868-7841-5
4163,1-7378139-8-X
36623,1-81905-499-3
49346,0-622-16029-X
42543,0-7496-7603-5
50465,0-917902-45-9
91992,1-4845-2921-9
23521,0-06-523516-9
88760,0-444-05785-4
43422,0-466-38375-4
6808,1-72671-918-9
96772,1-61332-185-6
25609,1-76003-446-0
9671,1-4802-3616-0
82985,0-88668-069-7
75341,0-7692-8611-9
25469,0-88378-897-7
89025,0-924080-20-5
41299,1-174-28302-5
21674,1-66850-890-7
74170,0-8046-4437-3
47708,0-9761870-5-1
43157,0-8149-8231-X
14051,1-56164-953-8
2105,0-348-62924-9
52942,0-07-502817-4
39438,0-915691-80-9
30185,0-601-33415-9
19675,0-05-036855-9
91866,1-335-13133-7
79972,0-344-74648-8
37834,1-4370-1186-1
73546,1-06-797805-4
82637,0-18-351188-3
19973,1-60491-309-6
61833,1-64377-035-7
78884,1-59194-664-6
40,1-4147-4248-7
88157,1-888860-30-8
28290,1-55867-197-8
84054,0-921190-43-3
45708,1-4003-3847-6
65705,0-87860-868-0
92475,0-05-838367-0
49330,0-515-97284-3
89252,0-415-80119-2
83018,1-67088-152-0
40918,0-269-83910-0
99220,1-876281-24-3
71829,0-667-92838-3
51509,1-5293-7657-2
75222,0-7559-4139-X
1964,0-352-22916-0
82730,1-70341-756-9
41718,0-8450-3730-7
74446,1-383-23938-X
87687,1-62302-108-1
89217,1-128-28399-9
18504,1-00-426209-4
19699,0-18-724281-X
51364,1-82478-100-8
3844,0-392-04148-0
75357,0-314-33242-1
67518,0-910954-22-4
5875,0-591-02608-2
11380,1-80311-807-5
3864,1-886395-12-8
49386,0-11-416083-X
16591,1-4623-9979-7
83955,0-298-57716-X
87002,0-7766-7158-8
23966,0-17-641859-8
29476,0-7673-0130-7
99456,1-58856-049-X
31039,0-8294-4529-3
2199,0-634-90648-8
9687,1-129-94527-8
40672,1-71379-724-0
96861,1-03-934030-X
81357,1-86015-045-4
83082,0-355-72175-9
97942,0-246-46439-9
63725,0-16-090435-8
24041,1-303-41147-4
77967,0-00-459946-2
58170,0-939065-17-7
5395,1-264-70865-3
70747,1-223-85575-9
18115,0-580-98568-7
46716,0-7906-2300-5
35761,1-60270-346-9
39580,1-66290-428-2
1169,1-111-31729-1
42375,1-7351855-3-1
83840,1-4715-8894-7
46451,0-8267-8434-8
13158,1-62296-519-1
17270,0-479-01550-3
21748,1-68670-855-6
31868,1-9992162-0-2
23955,0-03-596257-7
